,Theme,Action,Brief Description of Activity
187,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,"An awareness meeting on  alternate Fuels CNG/EVs is conducted in Vellore  RSA of IOCL Chennai Divisional Office . The program was attended virtually by 30 participants. During the meeting the advantages of CNG/EV vehicles including less cost, increased economy through increased mileage were briefed"
186,Energy Saved,Use LED bulbs/ tube-lights,"An awareness meeting on use of LED bulbs/Tubes is conducted in Vellore II RSA of IOCL Chennai Divisional Office . The program was attended by 30 participants. During the meeting the advantages of LED lights including less power consumption, increased illumination were briefed"
184,Energy Saved,Use LED bulbs/ tube-lights,40 LED bulbs were distributed among people of Karnawas village panchayat area by IOCL Rewari Terminal officers.
172,Energy Saved,Use LED bulbs/ tube-lights,At IOCL Haldia Refinery
170,Energy Saved,Switch off vehicle engines at red lights and railway crossings,IOCL- GUJARAT REFINERY has performed the Activity â€œEnergy Conservation- Use of Digital Banners â€ under â€œLifestyle for the Environment (LiFe)â€ has been completed at different Locations in Gujarat Refinery from 11.03.2023 to 25.03.2023 in Gujarat Refinery -Main Admin Building & in Gujarat Refinery Township.
210,Energy Saved,Switch off vehicle engines at red lights and railway crossings,BPCL Retail Outlets (Western Region) - January-2023.
275,Energy Saved,Use LED bulbs/ tube-lights,"IOCL -DIGBOI REFINERY conducts Monthly Safety Day at 1st of every month for creating awareness among contract workers regarding work place safety and  gifts are distributed to workers for safety quiz . This year on 01.03.2023 , Digboi refinery has distributed the monthly safety day gifts with #chooseLIFE logo and and creatives on the themes of â€œSave Energyâ€œ and â€œConserve Waterâ€ ."
293,Energy Saved,Use bicycles for local or short commute,"Poster displayed for creating awareness for usage of cycle, thereby saving fuel/energy."
317,Energy Saved,Use bicycles for local or short commute,"Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
532,Energy Saved,Use LED bulbs/ tube-lights,"Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
520,Energy Saved,Use bicycles for local or short commute,"On the occasion of World Environment Day and to create awareness on  Mission LiFE, High Commission of India organised a Bike Rally on 4 June 2023 in Lilongwe. Number of riders including kids participated  at the rally."
514,Energy Saved,Use LED bulbs/ tube-lights,"As part of #MissionLiFE, entries were invited for the â€œPoster Creation Online Contestâ€ from 1 to 5 May 2023, under the theme: Invest in our Planet. "
510,Energy Saved,Keep temperature of Air Conditioners to 24 degrees,Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on â€˜Save Energy Save Environmentâ€™ in Chancery
500,Energy Saved,Use bicycles for local or short commute,"#10Days10Steps Social Media Campaign was started on 1st June 2023, in the lead-up and after World Environment Day on June 5th, promoting various sustainable lifestyle changes that benefit the environment. "
499,Energy Saved,Use LED bulbs/ tube-lights,Word Environment Day celebrated at Govt Girls College Taranagar (Churu). Lecture was given on MISSION LIFE by Mr. Hira Lal Assistant Professor Hindi and the Programme Officer NSS Unit. Students brought various charts and diagrams. Planted trees in college campus. 
498,Energy Saved,Use LED bulbs/ tube-lights,Save Nature Save Life
497,Energy Saved,Use LED bulbs/ tube-lights,"Besides taking Environment Day Pledge as part of promotion of Mission LiFE on June 05, 2023 by officials of CGI, Phuentsholing and observing cleanliness and Environment friendly measures regularly, CGI Phuentsholing also organized ""India-Bhutan Friendship Tree Plantation Driveâ€ on June 05, 2023 in collaboration with Phuentsholing Thromde (i.e. Phuentsholing Municipality) to promote awareness about a clean and green environment."
494,Energy Saved,Use LED bulbs/ tube-lights,"SSG PAREEK PG GIRLS COLLEGE, CHOMU"
493,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises",Information given to the students regarding the importance of celebrating 5th June as World Environment Day. A brief Lecture was delivered by Dr. Ashutosh Birla on Planting trees to reduce the impact of pollution and Described the relevance of trees in Indian culture. Oath was taken by the students to save guard the environment.
412,Energy Saved,Use LED bulbs/ tube-lights,"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF"
400,Energy Saved,Use LED bulbs/ tube-lights,"Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter."
375,Energy Saved,Use LED bulbs/ tube-lights,"Ambassador Mr. Sanjay Rana launched a week-long campaign on Mission LiFE and briefed regarding the activities planned during the week on the main themes, viz, Save Energy, Save Water, Say No to Single Use Plastic, Reduce waste, Reduce E-waste, Adopt healthy lifestyles and Adopt sustainable Food Systems."
355,Energy Saved,Use LED bulbs/ tube-lights,"On 10 May 2023, Awareness camp was conducted at Indian Oil Ahmednagar Depot outside Maingate on all the themes of Mission-Life activities. Shri S.P.Kashyapi, CDM, P.S.Jagtap, Sr.Mgr and Vikas Pable, DSO emphasised on following activities for the contract Labours, TT Drivers, Security Personnels etc. Approx 150 participants were present in the awareness camp activity."
354,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,test by sahil test by sahil test by sahil test by sahil test by sahil 
352,Energy Saved,Take the stairs instead of an elevator wherever possible,TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING 
350,Energy Saved,Use LED bulbs/ tube-lights,test test
114,Energy Saved,Switch off appliances from plug points when not in use,#LifestyleForEnvironment 
109,Energy Saved,Use LED bulbs/ tube-lights,#LifestyleForEnvironment
579,Energy Saved,Use LED bulbs/ tube-lights,"Effective measures were taken to implement the action points planned for promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow. Posters (standies) were installed in all the 3 Embassy buildings and digital publicity was done by sharing Mission LiFE content on Mission website and social media handles to encourage adoption of healthy lifestyle, energy saving, water saving and waste reduction practices, and reduce use of single-use plastic. Mission LiFE videos were played on loop in visitor hall of the Consular Wing. Embassy was declared a plastic free zone. Flushes, taps and water pipes of the Embassy were checked for any leakage. Bins were installed at various locations in the Embassy. Trees were planted by the Ambassador in JNCC premises on 14 July 2023."
103,Energy Saved,Keep your electronic devices in energy-saving mode,#LifestyleForEnvironment
97,Energy Saved,Use bicycles for local or short commute,#LifestyleForEnvironment
84,Energy Saved,Use bicycles for local or short commute,"The banners were displayed during the Green Energy Summit ofanised by Indian Oil Corporation Ltd at Hyatt Rgenecy Delhi. There were more than 500 participants present physically and 1000 participants joined online. The summit was attended by OMCs, Banks, Media houses, Financers, Bio Energy entrepreneurs. "
100,Energy Saved,Switch off vehicle engines at red lights and railway crossings,#LifestyleForEnvironment
56,Energy Saved,Use LED bulbs/ tube-lights,Street lights were replaced with LED lights for more efficiency in IWST. 
106,Energy Saved,Use public transport wherever possible,#LifestyleForEnvironment 
86,Energy Saved,Use LED bulbs/ tube-lights,#LifestyleForEnvironment 
52,Energy Saved,Use LED bulbs/ tube-lights,"Use of 40 LED Tube lights in Board room and 124 LED bulbs at ICFRE Headquarter, Dehradn "
24,Energy Saved,Use public transport wherever possible,"à¤¹à¤¿à¤®à¤¾à¤²à¤¯à¤¨ à¤µà¤¨ à¤…à¤¨à¥à¤¸à¤‚à¤§à¤¾à¤¨ à¤¸à¤‚à¤¸à¥à¤¥à¤¾à¤¨, à¤¶à¤¿à¤®à¤²à¤¾ à¤¨à¥‡  à¤à¤¨à¤µà¤¾à¤¯à¤°à¤®à¥‡à¤‚à¤Ÿ à¤«à¥‰à¤° à¤²à¤¾à¤‡à¤« à¤•à¥‡ à¤¬à¤¾à¤°à¥‡ à¤®à¥‡à¤‚ à¤­à¥€ à¤²à¥‹à¤—à¥‹à¤‚ à¤•à¥‹ à¤œà¤¾à¤—à¤°à¥‚à¤• à¤•à¤¿à¤¯à¤¾ à¤‰à¤¨à¥à¤¹à¥‹à¤‚à¤¨à¥‡ à¤•à¤¹à¤¾ à¤•à¤¿ à¤¹à¤®à¥‡à¤‚ à¤…à¤ªà¤¨à¤¾ à¤œà¥€à¤µà¤¨ à¤¶à¥ˆà¤²à¥€ à¤à¤¸à¥€ à¤¬à¤¨à¤¾à¤¨à¥€ à¤šà¤¾à¤¹à¤¿à¤ à¤•à¥€ à¤¹à¤®à¤¾à¤°à¥‡ à¤•à¤¾à¤°à¥à¤¯à¥‹à¤‚ à¤¸à¥‡ à¤•à¤¾à¤°à¥à¤¬à¤¨ à¤•à¤¾ à¤‰à¤¤à¥à¤¸à¤°à¥à¤œà¤¨ à¤•à¤® à¤¸à¥‡ à¤•à¤® à¤¹à¥‹ à¤”à¤° à¤•à¤¾à¤°à¥à¤¬à¤¨ à¤•à¤¾ à¤«à¤¿à¤•à¥à¤¸à¥‡à¤¶à¤¨ à¤¹à¥‹ à¤‰à¤¨à¥à¤¹à¥‹à¤‚à¤¨à¥‡ à¤•à¤¹à¤¾ à¤•à¥€ à¤…à¤—à¤° à¤¸à¤­à¥€ à¤•à¤°à¥à¤®à¤šà¤¾à¤°à¥€ à¤”à¤° à¤…à¤§à¤¿à¤•à¤¾à¤°à¥€ à¤¦à¥‡à¤¶à¤µà¤¾à¤¸à¥€ à¤®à¤¿à¤²à¤•à¤° à¤¦à¥‡à¤¶ à¤•à¥€ à¤‰à¤¨à¥à¤¨à¤¤à¤¿ à¤®à¥‡à¤‚ à¤¯à¥‹à¤—à¤¦à¤¾à¤¨ à¤¦à¥‡à¤‚ à¤¤à¤­à¥€ à¤­à¤¾à¤°à¤¤à¤µà¤°à¥à¤· à¤à¤• à¤µà¤¿à¤•à¤¸à¤¿à¤¤ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤° à¤à¤• à¤µà¤¿à¤•à¤¸à¤¿à¤¤ à¤¦à¥‡à¤¶ à¤¬à¤¨ à¤ªà¤¾à¤à¤—à¤¾ à¥¤"
30,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"A lecture on â€œDiseases in daily life and their protectionsâ€ delivered by Chief Guest Dr. D.S. Mertiya of AFRI Dispensary. During this program he provided detailed information about communicable and non-communicable diseases in human caused by the current lifestyle. To get rid of these diseases, the Dr. Mertiya told Yoga, Pranayama to be useful. He also answered various queries of the audience. Sh. M.R. Baloch, Director AFRI also expressed his views on the subject. Dr. Tarun Kant, GCR, Smt. Bhawana Sharma, HoD, Extension Division, all Scientist/Officers/Staff are present in this program. The coordination of program was done Smt. Kusum Parihar. "
550,LiFEStyles Adopted,Start biodiversity conservation at community level,"IOCL Paradip Refinery released fauna such as turtles and fishes in Ecopark pond and Ducks in Raw water pond on the occasion of world environment day at Paradip Refinery, Odisha as a part of biodiversity conservation."
549,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,"IOCL Paradip Refinery planted saplings on the occasion of world environment day at Ecopark, Paradip Refinery, Odisha for ecosystem restoration."
539,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Bicycle Rally
69,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"A mega event was organized by the ICFRE-CEC (Coastal Ecosystem Centre), Visakhapatnam and Indira Gandhi Zoological Park (IGZP), on the occasion of World Wetlands Day, at Kondakarla Ava wetland on 2nd February 2023. In the event, ICFRE- CEC put up a stall on â€œThe Mangroves of Visakhapatnamâ€ to create awareness amongst the public and students"
65,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Seminar on Eco-friendly lifestyle cum awareness programme on first aid treatment through naturopathy  at ICFRE-Institute of Forest Productivity, Ranchi"
245,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"BPCL conducted various  programs  on stress management & wellness, such as:"
61,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Awareness Program on Mission LiFE at  FRI Campus
60,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness Programme was conducted By ICFRE-TFRI on Practice natural or organic farming at Village Jhalwara, Katni district (MP)"
525,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,"To mark World Environment Day and to raise awareness on Mission LiFE, High Commission of India in association with Indian Country Club, Lilongwe organised a tree planting event on 4 June 2023 at the Indian Country Club, Lilongwe."
276,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,"BPCL Conducted LiFE events such as nukkad natak, drawing competitions, poster competitions, distribution of seed balls, discussions and talks at schools, Anganwadis, slum areas etc and received huge response from the different stakeholders."
277,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,"BPCL Conducted LiFE events such as nukkad natak, drawing competitions, poster competitions, distribution of seed balls, discussions and talks at schools, Anganwadis, slum areas etc and received huge response from the different stakeholders."
278,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.
282,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.
28,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Preparation of organic manure from cow dung by ICFRE-SDC, Chhindwara"
324,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
43,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on LiFE Mission to school students, college students and general public in and around Coimbatore district."
36,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on LiFE Mission to school students, college students and general public in and around Coimbatore district. Awareness on LiFE Mission was also created to the Visitors of Gass Forest Museum, IFGTB and visitors of the Central Library, Coimbatore.  Awareness materials pertaining to theme of Mission LiFE were released during the activities and disseminated widely. In addition, documentaries pertaining to the theme were telecasted"
382,LiFEStyles Adopted,Prefer consuming natural or organic products,"Special Yoga session was organized under the theme ""Adopt Healthy Lifestyle"" with yoga teachers of Bulgaria Yoga Federation. "
395,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree plantation drive with students and teachers of the 79 Indira Gandhi School. Students from Erazmus+ project Beli(e)ve in a Green World were very excited to be part of such initiative and planted the beautiful trees gift from the Indian Embassy and Sofia Municipality. 
35,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,Awareness & Promotion of Mission LiFE and Encourage use of millets in food and indigenous herbsand medicinal plantsfor nutrition and well being.
29,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Head, Extension Division, RFRI delivered a presentation on 26-01-2023 on LiFE (Lifestyle for Environment) for sensitizing all the Scientists, Officers, Supporting & Ministerial Staff, Family Members and Children on various activities of LiFE Programme. He spoke about the aims and objectives, modus operandi and possible impact of LiFE Programme. He appealed to all for little change in our behavior and mindset to the environment friendly lifestyle. He elucidated seventy five actions to be followed by ourselves in our daily life for better world. He also mentioned about the Sustainable Development Goals (SDGs) and informed that Mission LiFE contributes directly and indirectly to almost all the SDGs."
181,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,50 No. of Tree plantation was done by IOCL Rewari Terminal Marketing Division at Government school Karnawas open vaccant area.
1,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Distribution of pamphlets, kits and  digital repositories on â€œAchhi Adatâ€ in all SAGY GPs"
158,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,Awareness Camp on LPG Safety and Mission Life for stakeholders majorly women and at villages along the ROU of HPCL Palanpur Vadodara pipeline
160,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,HPCL Locations carried out plantation of carbon sequestering and pollution reducing trees and seed bombing for biodiversity preservation.
159,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,"HPCL Lubes SBU organised Nukkad Natak at various public places in Mumbai (Chembur, Lower Parel, Bandra) in local dialect for spreading awareness on Environment protection through Mission LiFE."
157,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Distribution of 100 seed balls to workmen at HPCL Mumbai Pune Solapur Pipeline - Talegaon
156,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,HPCL organised Poster making competition for primary school students at Purnea
141,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,An awareness programme was organized by GGM Science College on the topic of Air Pollution 
162,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,"HPCL Locations organised awareness sessions for Creating awareness about Stress management & wellness. (Session on healthy lifestyle, stress management etc.)"
151,LiFEStyles Adopted,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","HPCL Mumbai LPG RO participated in Plant, Flower, Fruit & Vegetable Exhibition organized by BMC at Byculla from 3rd to 5th"
171,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,IOCL- GUJARAT REFINERY has performed the Activity â€œ Drawing competitions-Display of LiFe logo-Energy Conservation-â€ under â€œLifestyle for the Environment (LiFe)â€ has completed in Gujarat Refinery on 26.02.2023 at Gujarat Refinery Township â€œ Spandan Hallâ€
143,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,NSS unit of GD Goenka University organized the â€œSave Trees Save Earthâ€ tree plantation activity
144,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,NSS unit of GD Goenka University organized the â€œSave Trees Save Earthâ€ tree plantation activity
145,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,NSS unit MAM college of Jammu conducted a Plantation Drive in the college 
150,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,HPCL organised â€œKnowledge Sharing Workshop on Petroleum Refineries under the aegis of PNGRB. The participants were made aware of # Mission LiFE â€“ Lifestyle for Environment wherein the participants pledged to make any possible changes in their lifestyles to protect the environment and to inform others of the importance of environment friendly practices.
163,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,HPCL disseminated awareness in general public through its official handles in social media platforms.
303,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
295,Single-Use Plastic Reduced,Carry your own water bottle wherever possible,the state of Haryana has banned the use of pet bottles in the all the  Government offices and being complied with.
34,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Replaced disposable glasses/cups with steel bottles and Disposable cutlery in the Guest House are replaced with ceramic cutlery by ICFRE-IWST, Bengaluru."
495,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,à¤µà¥€à¤°à¤¬à¤¾à¤²à¤¾ à¤•à¤¾à¤²à¥€ à¤¬à¤¾à¤ˆ à¤°à¤¾à¤œà¤•à¥€à¤¯ à¤•à¤¨à¥à¤¯à¤¾ à¤®à¤¹à¤¾à¤µà¤¿à¤¦à¥à¤¯à¤¾à¤²à¤¯ à¤¡à¥‚à¤‚à¤—à¤°à¤ªà¥à¤° à¤®à¥‡à¤‚ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤¦à¤¿à¤µà¤¸ à¤ªà¤° â€œà¤ªà¤²à¤¾à¤¸à¥à¤Ÿà¤¿à¤• à¤ªà¥à¤°à¤¦à¥‚à¤·à¤£ à¤•à¤¾ à¤¸à¤®à¤¾à¤§à¤¾à¤¨â€ à¤¥à¥€à¤® à¤ªà¤° à¤µà¥€à¤°à¤¬à¤¾à¤²à¤¾ à¤•à¤¾à¤²à¥€ à¤¬à¤¾à¤ˆ à¤°à¤¾à¤œà¤•à¥€à¤¯ à¤•à¤¨à¥à¤¯à¤¾ à¤®à¤¹à¤¾à¤µà¤¿à¤¦à¥à¤¯à¤¾à¤²à¤¯ à¤¡à¥‚à¤‚à¤—à¤°à¤ªà¥à¤° à¤•à¥‡ à¤ªà¥à¤°à¤¾à¤šà¤¾à¤°à¥à¤¯ à¤¡à¥‰. à¤ªà¤¨à¥à¤¨à¤¾ à¤²à¤¾à¤² à¤•à¤Ÿà¤¾à¤°à¤¾ à¤¨à¥‡ à¤›à¤¾à¤¤à¥à¤°à¤¾à¤“à¤‚ à¤•à¥‹ à¤¸à¤‚à¤¬à¥‹à¤§à¤¿à¤¤ à¤•à¤¿à¤¯à¤¾à¥¤ à¤à¤¨à¤à¤¸à¤à¤¸ à¤ªà¥à¤°à¤­à¤¾à¤°à¥€ à¤°à¤¾à¤œà¥‡à¤‚à¤¦à¥à¤° à¤°à¥‡à¤¬à¤¾à¤°à¥€ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤›à¤¾à¤¤à¥à¤°à¤¾à¤“à¤‚ à¤•à¥‹ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¥€à¤µà¤¨ à¤•à¥‡ à¤…à¤‚à¤¤à¤°à¥à¤—à¤¤ 7 à¤¶à¥à¤°à¥‡à¤£à¤¿à¤¯à¥‹à¤‚ à¤®à¥‡à¤‚ 75 à¤—à¤¤à¤¿à¤µà¤¿à¤§à¤¿à¤¯à¥‹à¤‚ à¤•à¥€ à¤œà¤¾à¤¨à¤•à¤¾à¤°à¥€ à¤¦à¥€à¥¤ à¤ªà¤•à¥à¤·à¤¿à¤¯à¥‹à¤‚ à¤•à¥‡ à¤ªà¤¾à¤¨à¥€ à¤ªà¥€à¤¨à¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤ªà¤°à¤¿à¤‚à¤¡à¥‡ à¤¬à¤¾à¤‚à¤§à¥‡à¥¤ à¤•à¤¾à¤°à¥à¤¯à¤•à¥à¤°à¤® à¤•à¥‡ à¤…à¤‚à¤¤ à¤®à¥‡à¤‚ à¤›à¤¾à¤¤à¥à¤°à¥‹à¤‚ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤•à¥‡ à¤²à¤¿à¤ à¤¸à¥à¤°à¤•à¥à¤·à¤¾ à¤à¤µà¤‚ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¥€à¤µà¤¨ à¤¶à¥ˆà¤²à¥€ à¤•à¥€ à¤¶à¤ªà¤¥ à¤²à¥€à¥¤
